full_path,relative_path,folder,extension,size_bytes,created_at,modified_at,line_count,include_count,declare_count,type_count,function_count,sub_count,const_count,first_nonempty,content_info
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\runtime_io.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\runtime_io.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime,.bas,5308,2026-05-13 23:28:01,2026-05-12 14:06:58,263,0,0,0,22,10,0,' Auto-split by V3 modularization,include=0; declare=0; type=0; function=22; sub=10; const=0
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\runtime_memory.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\runtime_memory.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime,.bas,8207,2026-05-13 23:28:01,2026-05-12 19:25:48,374,0,0,0,19,11,0,' Auto-split by V3 modularization,include=0; declare=0; type=0; function=19; sub=11; const=0
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\runtime_meta_dispatch.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\runtime_meta_dispatch.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime,.bas,15778,2026-05-13 23:28:01,2026-05-12 19:25:48,719,3,0,0,0,8,0,' Auto-split by V3 modularization,include=3; declare=0; type=0; function=0; sub=8; const=0
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\runtime_status_flags.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\runtime_status_flags.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime,.bas,2710,2026-05-13 23:28:01,2026-05-12 14:06:58,99,0,0,0,7,9,0,' Auto-split by V3 modularization,include=0; declare=0; type=0; function=7; sub=9; const=0
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\uxm31_runtime_fb_full.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\uxm31_runtime_fb_full.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime,.bas,8840,2026-05-13 23:28:01,2026-05-12 14:06:58,176,23,105,0,0,0,27,"#Lang ""fb""",include=23; declare=105; type=0; function=0; sub=0; const=27
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\uxm31_runtime_fb_lib.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\uxm31_runtime_fb_lib.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime,.bas,8767,2026-05-13 23:28:01,2026-05-12 19:25:48,176,23,105,0,0,0,27,#ifndef UXM31_RUNTIME_FB_LIB_BAS,include=23; declare=105; type=0; function=0; sub=0; const=27
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\hooks\runtime_hook_dispatch_ext.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\hooks,.bas,599,2026-05-13 23:28:01,2026-05-12 14:06:58,23,0,0,0,1,0,0,#ifndef UXM_RUNTIME_HOOK_DISPATCH_EXT_BAS,include=0; declare=0; type=0; function=1; sub=0; const=0
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_bio_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_bio_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,9916,2026-05-13 23:28:01,2026-05-12 14:06:58,332,0,0,0,8,13,3,#ifndef UXM_RUNTIME_BIO_SERVICES_BAS,include=0; declare=0; type=0; function=8; sub=13; const=3
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_complex_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_complex_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,6052,2026-05-13 23:28:01,2026-05-12 14:06:58,154,0,0,0,1,5,1,#ifndef UXM_RUNTIME_COMPLEX_SERVICES_BAS,include=0; declare=0; type=0; function=1; sub=5; const=1
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_file_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_file_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,13414,2026-05-13 23:28:01,2026-05-12 14:06:58,471,0,0,0,5,21,6,#ifndef UXM_RUNTIME_FILE_SERVICES_BAS,include=0; declare=0; type=0; function=5; sub=21; const=6
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_fp_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_fp_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,20821,2026-05-13 23:28:01,2026-05-12 14:06:58,745,0,25,0,13,13,0,' UX-FP V1 runtime services for uxm31_runtime_fb_full.bas,include=0; declare=25; type=0; function=13; sub=13; const=0
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_linalg_advanced_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_linalg_advanced_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,17010,2026-05-13 23:28:01,2026-05-12 14:06:58,572,0,19,0,10,10,1,' UXM V3.3 Stage-14 Linear Algebra Advanced services,include=0; declare=19; type=0; function=10; sub=10; const=1
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_math_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_math_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,11900,2026-05-13 23:28:01,2026-05-12 14:06:58,371,0,14,0,7,10,0,' UX-MATH V1 runtime services for uxm31_runtime_fb_full.bas,include=0; declare=14; type=0; function=7; sub=10; const=0
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_matrix_advanced_tensor_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_matrix_advanced_tensor_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,38222,2026-05-13 23:28:01,2026-05-12 14:06:58,1255,0,42,0,19,24,3,' UXM V3.3 Stage-10 Matrix Advanced + Tensor Basic Services,include=0; declare=42; type=0; function=19; sub=24; const=3
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_matrix_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,19574,2026-05-13 23:28:01,2026-05-12 14:06:58,642,0,27,0,13,18,0,' UX-MAT V1 runtime services for uxm31_runtime_fb_full.bas,include=0; declare=27; type=0; function=13; sub=18; const=0
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_ml_data_pipeline_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_ml_data_pipeline_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,19886,2026-05-13 23:28:01,2026-05-12 14:06:58,651,0,31,0,23,9,2,' UXM V3.3 Stage-15 + Stage-16 ML Basic + AI/Data Pipeline services,include=0; declare=31; type=0; function=23; sub=9; const=2
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_numeric_methods_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_numeric_methods_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,10461,2026-05-13 23:28:02,2026-05-12 14:06:58,227,0,0,0,10,2,1,#ifndef UXM_RUNTIME_NUMERIC_METHODS_SERVICES_BAS,include=0; declare=0; type=0; function=10; sub=2; const=1
C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_probability_services.bas,UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services\runtime_probability_services.bas,C:\Users\mete\Downloads\UXMC\ucma\_forensic\overlay\final\ucma\_forensic\individual\zip_054\UXM_A_64K_COMPILER_HOTFIX1\src\runtime\services,.bas,6720,2026-05-13 23:28:02,2026-05-12 14:06:58,188,0,0,0,6,4,3,#ifndef UXM_RUNTIME_PROBABILITY_SERVICES_BAS,include=0; declare=0; type=0; function=6; sub=4; const=3
